GM1,GM2,GM3,GM4,GM7,GM8,GM9,GM10,GM11
-2.45E-06,2.22E-02,8.70E-06,8.22E-05,-6.23E-03,1.95E-03,4.87E-02,4.67E-02,3.10E-03
-2.36E-06,4.23E-02,-7.88E-05,7.28E-05,-5.90E-03,1.64E-03,4.99E-02,7.50E-02,2.83E-03
-2.38E-06,5.86E-02,-1.72E-04,4.17E-05,-1.55E-03,1.43E-03,3.88E-02,-5.31E-03,2.47E-03
-2.50E-06,6.95E-02,-2.40E-04,3.06E-05,-1.59E-03,1.37E-03,1.55E-02,-8.21E-02,2.01E-03
-2.68E-06,7.36E-02,-2.71E-04,4.55E-05,7.94E-04,1.43E-03,-1.42E-02,-1.32E-01,1.45E-03
-2.81E-06,6.97E-02,-2.70E-04,5.44E-05,1.64E-04,1.43E-03,-3.46E-02,-2.28E-01,8.46E-04
-2.77E-06,5.71E-02,-2.31E-04,5.60E-05,-4.55E-04,1.25E-03,-2.68E-02,-1.72E-01,2.84E-04
-2.54E-06,3.63E-02,-1.54E-04,7.17E-05,-7.65E-04,8.64E-04,-1.87E-02,2.03E-02,-1.55E-04
-2.23E-06,8.50E-03,-6.78E-05,8.85E-05,2.41E-03,4.23E-04,-2.56E-02,5.25E-03,-4.55E-04
-1.95E-06,-2.36E-02,-3.56E-06,9.05E-05,2.27E-03,2.99E-05,-2.43E-02,-1.51E-01,-6.12E-04
-1.72E-06,-5.65E-02,2.11E-05,8.12E-05,-4.20E-03,-3.70E-04,-1.85E-02,-2.11E-01,-6.24E-04
-1.56E-06,-8.68E-02,-1.36E-06,6.04E-05,-5.27E-03,-8.26E-04,-7.55E-03,-2.53E-01,-5.19E-04
-1.41E-06,-1.11E-01,-5.17E-05,5.17E-05,-2.21E-03,-1.25E-03,2.71E-02,-4.13E-01,-3.16E-04
-1.19E-06,-1.27E-01,-1.01E-04,6.69E-05,-3.70E-03,-1.56E-03,6.59E-02,-3.84E-01,-8.49E-06
-9.05E-07,-1.33E-01,-1.45E-04,6.79E-05,-9.73E-03,-1.85E-03,7.10E-02,-1.47E-01,4.22E-04
-6.26E-07,-1.29E-01,-1.79E-04,4.65E-05,-7.86E-03,-2.27E-03,4.75E-02,2.20E-02,9.68E-04
-4.55E-07,-1.15E-01,-1.78E-04,2.51E-05,-1.78E-03,-2.74E-03,2.10E-02,-2.44E-01,1.56E-03
-4.18E-07,-9.33E-02,-1.29E-04,3.32E-05,4.87E-04,-3.04E-03,-7.93E-03,-4.21E-01,2.10E-03
-4.32E-07,-6.59E-02,-4.87E-05,5.81E-05,2.04E-03,-3.08E-03,-3.89E-02,-1.04E-01,2.51E-03
-4.04E-07,-3.49E-02,3.26E-05,7.85E-05,1.76E-04,-2.94E-03,-5.28E-02,9.61E-02,2.72E-03
-3.59E-07,-2.82E-03,8.72E-05,6.29E-05,-7.54E-03,-2.59E-03,-4.82E-02,3.07E-01,2.75E-03
-4.02E-07,2.76E-02,1.04E-04,3.42E-05,-7.36E-03,-2.06E-03,-3.30E-02,4.90E-01,2.64E-03
